date,user,text,retweets,favourites
2021-02-10 15:07:57,JoeBiden,RT @POTUS: Let me be clear: No one should lose their home in the middle of this pandemic. Congress needs to pass the American Rescue Plan t…,8579,0
2021-02-09 23:39:30,JoeBiden,RT @POTUS: We can’t stand by as millions of Americans struggle to put food on the table. Congress needs to immediately pass the American Re…,8120,0
2021-02-09 18:15:07,JoeBiden,"RT @POTUS: There’s so much more work to be done, but we’ve been able to increase vaccine distribution by 28% in the first three weeks alone…",6877,0
2021-02-09 15:15:20,JoeBiden,RT @POTUS: Launching a national vaccination program to quickly and equitably vaccinate America — that’s the American Rescue Plan. https://t…,6457,0
2021-02-08 18:52:59,JoeBiden,RT @POTUS: Making vaccines free and accessible for every American — that’s the American Rescue Plan. https://t.co/5GpH0VYWIE,12136,0
2021-02-08 14:16:01,JoeBiden,RT @POTUS: We don’t have a second to waste when it comes to delivering the American people the relief they desperately need. I’m calling on…,13001,0
2021-02-07 22:08:28,JoeBiden,"RT @POTUS: For your family, for your neighbors, for your country — wear a mask.",35572,0
2021-02-07 17:20:17,JoeBiden,RT @POTUS: Everyone who wants a vaccine should be able to get one free of charge. The American Rescue Plan will make that a reality.,16555,0
2021-02-06 16:06:26,JoeBiden,"RT @POTUS: Last year, Michele lost her job because of the pandemic. I recently gave her a call to hear her story and discuss how my America…",8785,0
2021-02-05 23:55:25,JoeBiden,"RT @POTUS: This morning, I met with House Democratic leaders to discuss the American Rescue Plan. As I said during the meeting: this isn’t…",7149,0
2021-02-05 19:31:56,JoeBiden,RT @POTUS: America is back. Diplomacy is back. https://t.co/03dFPQyYjw,10565,0
2021-02-04 19:44:04,JoeBiden,"RT @POTUS: This afternoon, I’m visiting the @StateDept and delivering remarks on America’s role in the world. Tune in. https://t.co/zWG3UET…",4039,0
2021-02-04 17:12:11,JoeBiden,RT @POTUS: Extending the moratorium on evictions and foreclosures to help countless Americans keep a roof over their head — that’s the Amer…,6279,0
2021-02-04 00:09:28,JoeBiden,RT @POTUS: Let me be clear: The risk in this moment isn’t that we do too much — it’s that we don’t do enough. Congress must pass the Americ…,20334,0
2021-02-03 19:46:07,JoeBiden,RT @POTUS: Officer Brian Sicknick was a hero who died in the line of duty defending our democracy and the citadel of liberty itself. To his…,12468,0
2021-02-03 13:49:14,JoeBiden,RT @POTUS: No one should lose their home in the middle of this pandemic. My American Rescue Plan will extend the moratorium on evictions an…,14212,0
2021-02-02 19:12:50,JoeBiden,RT @POTUS: It’s long past time we raise the minimum wage to $15 an hour. The American Rescue Plan will get it done.,23646,0
2021-02-02 02:46:53,JoeBiden,"RT @POTUS: We’ve never fully lived up to the founding principles of this nation, but our Administration is committed to finishing the work…",14314,0
2021-02-01 00:08:26,JoeBiden,"RT @POTUS: In order to get America vaccinated, we need more:

- Places for people to get vaccinated
- Medical teams to get shots into arms…",13513,0
2021-01-31 01:01:39,JoeBiden,"RT @POTUS: Over the last 10 days, I’ve taken action on:

- COVID-19
- The economy
- Climate change
- Racial equity
- Immigration
- Health c…",31995,0
2021-01-27 18:46:38,JoeBiden,"RT @POTUS: This afternoon, I’ll be taking action to meet the climate crisis with the urgency it demands. Tune in. https://t.co/TaCmltDZ6X",7007,0
2021-01-24 02:49:49,JoeBiden,"RT @POTUS: We’re facing a historic moment in our nation’s history — one that requires bold and swift action. That’s why this week, I took h…",14612,0
2021-01-24 02:49:45,JoeBiden,"RT @POTUS: We will get through this, together. https://t.co/W03wlb2m8o",11066,0
2021-01-23 01:57:08,JoeBiden,RT @POTUS: Federal employees have dedicated their careers to serving the American people — and they are worthy of the utmost dignity and re…,14989,0
2021-01-23 01:56:57,JoeBiden,"RT @POTUS: I know times are tough, but help is on the way. https://t.co/BVi3b6NoBv",8743,0
2021-01-23 01:56:54,JoeBiden,"RT @POTUS: This afternoon, I’ll be taking action to provide much-needed relief to communities and small businesses impacted by COVID-19. Tu…",5911,0
2021-01-23 01:56:42,JoeBiden,"RT @POTUS: As we mark the 48th anniversary of Roe v. Wade, now is the time to rededicate ourselves to the work ahead. From codifying Roe to…",11603,0
2021-01-23 01:56:41,JoeBiden,RT @POTUS: I’m grateful for the Senate’s continued bipartisanship and swift confirmation of Lloyd Austin. His confirmation is historic — an…,6003,0
2021-01-22 02:52:19,JoeBiden,RT @POTUS: We will get this virus under control. https://t.co/59iC1nyR0N,7204,0
2021-01-22 02:52:16,JoeBiden,"RT @POTUS: I give you my word: I will always level with you.

I will defend the Constitution, our democracy, and America.

And I will give…",12769,0
2021-01-21 18:53:32,JoeBiden,"RT @POTUS: We don't have a second to waste when it comes to getting this virus under control. That's why today, I'll be signing executive a…",20298,0
